2022-09-03_14:39:00 MEM FREE: 24,7393 MEM TOTAL: 3836
2022-09-03_14:39:03 MEM FREE: 24,1658 MEM TOTAL: 3836
2022-09-03_14:39:06 MEM FREE: 23,5141 MEM TOTAL: 3836
2022-09-03_14:39:09 MEM FREE: 22,9666 MEM TOTAL: 3836
2022-09-03_14:39:12 MEM FREE: 22,3931 MEM TOTAL: 3836
2022-09-03_14:39:15 MEM FREE: 21,7935 MEM TOTAL: 3836
2022-09-03_14:39:18 MEM FREE: 21,1679 MEM TOTAL: 3836
2022-09-03_14:39:21 MEM FREE: 20,5422 MEM TOTAL: 3836
2022-09-03_14:39:24 MEM FREE: 19,9948 MEM TOTAL: 3836
2022-09-03_14:39:27 MEM FREE: 19,9426 MEM TOTAL: 3836
2022-09-03_14:39:30 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:39:33 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:39:36 MEM FREE: 19,8644 MEM TOTAL: 3836
2022-09-03_14:39:39 MEM FREE: 19,8644 MEM TOTAL: 3836
2022-09-03_14:39:42 MEM FREE: 19,8384 MEM TOTAL: 3836
2022-09-03_14:39:45 MEM FREE: 19,7862 MEM TOTAL: 3836
2022-09-03_14:39:48 MEM FREE: 19,7341 MEM TOTAL: 3836
2022-09-03_14:39:52 MEM FREE: 39,7355 MEM TOTAL: 5217
2022-09-03_14:39:55 MEM FREE: 47,1487 MEM TOTAL: 5886
2022-09-03_14:39:58 MEM FREE: 37,1836 MEM TOTAL: 4974
2022-09-03_14:40:01 MEM FREE: 22,4827 MEM TOTAL: 4052
2022-09-03_14:40:04 MEM FREE: 19,6861 MEM TOTAL: 3876
2022-09-03_14:40:07 MEM FREE: 20,2727 MEM TOTAL: 3975
2022-09-03_14:40:10 MEM FREE: 21,8388 MEM TOTAL: 4071
2022-09-03_14:40:13 MEM FREE: 23,3976 MEM TOTAL: 4147
2022-09-03_14:40:16 MEM FREE: 42,8005 MEM TOTAL: 3783
2022-09-03_14:40:19 MEM FREE: 36,8989 MEM TOTAL: 3431
2022-09-03_14:40:22 MEM FREE: 36,8989 MEM TOTAL: 3431
2022-09-03_14:40:25 MEM FREE: 36,8989 MEM TOTAL: 3431
2022-09-03_14:40:28 MEM FREE: 36,8989 MEM TOTAL: 3431
2022-09-03_14:40:31 MEM FREE: 36,8989 MEM TOTAL: 3431
2022-09-03_14:42:05 MEM FREE: 36,8989 MEM TOTAL: 3431
2022-09-03_14:42:08 MEM FREE: 36,8989 MEM TOTAL: 3431
2022-09-03_14:42:11 MEM FREE: 36,8697 MEM TOTAL: 3431
2022-09-03_14:42:14 MEM FREE: 36,5491 MEM TOTAL: 3431
2022-09-03_14:42:17 MEM FREE: 36,1119 MEM TOTAL: 3431
2022-09-03_14:42:20 MEM FREE: 35,4416 MEM TOTAL: 3431
2022-09-03_14:42:23 MEM FREE: 34,7712 MEM TOTAL: 3431
2022-09-03_14:42:26 MEM FREE: 34,2757 MEM TOTAL: 3431
2022-09-03_14:42:29 MEM FREE: 33,6345 MEM TOTAL: 3431
2022-09-03_14:42:32 MEM FREE: 32,935 MEM TOTAL: 3431
2022-09-03_14:42:35 MEM FREE: 32,2646 MEM TOTAL: 3431
2022-09-03_14:42:38 MEM FREE: 31,5651 MEM TOTAL: 3431
2022-09-03_14:42:41 MEM FREE: 30,8948 MEM TOTAL: 3431
2022-09-03_14:42:44 MEM FREE: 30,1953 MEM TOTAL: 3431
2022-09-03_14:42:47 MEM FREE: 29,6124 MEM TOTAL: 3431
2022-09-03_14:42:50 MEM FREE: 28,9129 MEM TOTAL: 3431
2022-09-03_14:42:53 MEM FREE: 28,2425 MEM TOTAL: 3431
2022-09-03_14:42:56 MEM FREE: 27,6304 MEM TOTAL: 3431
2022-09-03_14:42:59 MEM FREE: 26,9309 MEM TOTAL: 3431
2022-09-03_14:43:02 MEM FREE: 26,2897 MEM TOTAL: 3431
2022-09-03_14:43:05 MEM FREE: 25,6194 MEM TOTAL: 3431
2022-09-03_14:43:08 MEM FREE: 24,9781 MEM TOTAL: 3431
2022-09-03_14:43:11 MEM FREE: 24,2786 MEM TOTAL: 3431
2022-09-03_14:43:15 MEM FREE: 23,5791 MEM TOTAL: 3431
